id,division,district,highest_dispo_charge,last_event_result,number,highest_charge,highest_charge_mod,complaint_year,next_pending_event,offense_date,sentencing,final_disposition,unit,event_of_final_dispo,drug,drug_patient,drug_res,full,incar,incar_county,incar_life,incar_prison,incr_local,prob,prob_formal,prob_sum,prog,prog_child,prog_dv,work,work_furl,work_pub,work_vol
441,North County Branch,North County,VC20001(b)(2),Sentencing Hearing  - Probation Granted Formal,CN282195,VC20001(b)(2),,2010,,00:00.0,Local Custody: 1 Days - Probation Formal: 3 Years - Public Work Service: 15 Days (+ more),Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,1,,,,,1095,1095,,,,,15,,15,
650,North County Branch,North County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CN325677,VC20001(a),,2013,,00:00.0,Local Custody: 1 Days - Probation Formal: 3 Years - Public Work Service: 20 Days,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,1,,,,,1095,1095,,,,,20,,20,
336,North County Branch,North County,VC20001(a),Probation Modification Hearing - Granted,CN263176,VC20001(a),,2009,,00:00.0,Local Custody: 1 Days - Probation Summary: 3 Years - Public Work Service: 20 Days,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,1,,,,,1095,,1095,,,,20,,20,
47,Superior Court,Central,VC20001(a),Further Proceedings - Action Taken,CD227293,VC20001(a),,2010,,00:00.0,Local Custody: 1 Days - Probation Summary: 3 Years - Volunteer Work Service: 400 Hours,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,1,,,,,1095,,1095,,,,0,,,0
692,South Bay Branch,South County,"VC23153(a), alcohol",Further Proceedings - Action Taken,CS228126,VC23153(a),alcohol,2009,,00:00.0,Local Custody: 10 Days - Probation Formal: 5 Years - Volunteer Work Service: 80 Hours,Pled Guilty Felony,South Bay Branch - OTS Grant,Preliminary Exam Readiness,,,,,10,,,,,1825,1825,,,,,0,,,0
549,North County Branch,North County,VC20001(a),Further Proceedings - Action Taken,CN306814,VC20001(a),,2012,,00:00.0,Local Custody: 101 Days - Probation Formal: 3 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,101,,,,,1095,1095,,,,,,,,
388,North County Branch,North County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CN271910,VC20001(a),,2010,,00:00.0,Local Custody: 112 Days - Probation Formal: 3 Years - Public Work Service: 30 Days,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,112,,,,,1095,1095,,,,,30,,30,
730,South Bay Branch,South County,"VC23153(a), alcohol",Further Proceedings - Action Taken,CS239507,VC23153(a),alcohol,2010,,00:00.0,Local Custody: 120 Days,Pled Guilty Felony,South Bay Branch - OTS Grant,Preliminary Exam,,,,,120,,,,,,,,,,,,,,
12,Superior Court,Central,VC20001(a),Probation Modification Hearing - Granted,CD221197,VC20001(a),,2009,,00:00.0,Local Custody: 120 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,120,,,,,1095,1095,,,,,,,,
13,Superior Court,Central,VC20001(a),PC 1203.4 Motion Hearing - Granted,CD221244,VC20001(a),,2009,,00:00.0,Local Custody: 120 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,120,,,,,1095,1095,,,,,,,,
361,North County Branch,North County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CN267341,VC20001(a),,2009,,00:00.0,Local Custody: 120 Days - Probation Formal: 3 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,120,,,,,1095,1095,,,,,,,,
494,North County Branch,North County,VC2800.2(a),Probation Modification Hearing - Granted,CN292523,VC2800.2(a),,2011,,00:00.0,Local Custody: 120 Days - Probation Formal: 3 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,120,,,,,1095,1095,,,,,,,,
508,North County Branch,North County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CN295393,VC20001(a),,2011,,00:00.0,Local Custody: 120 Days - Probation Formal: 3 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,120,,,,,1095,1095,,,,,,,,
657,North County Branch,North County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CN326984,VC20001(a),,2013,,00:00.0,Local Custody: 120 Days - Probation Formal: 3 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,120,,,,,1095,1095,,,,,,,,
719,South Bay Branch,South County,"VC23153(a), alcohol",Probation Modification Hearing - Granted,CS235973,VC23153(a),alcohol,2010,,00:00.0,Local Custody: 120 Days - Probation Formal: 3 Years - Residential Drug Treatment: 180 Days,Pled Guilty Felony,South Bay Branch - OTS Grant,Preliminary Exam,180,,180,,120,,,,,1095,1095,,,,,,,,
3,Superior Court,Central,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CD219041,VC20001(a),,2009,,00:00.0,Local Custody: 120 Days - Probation Formal: 3 Years - Volunteer Work Service: 200 Hours,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,120,,,,,1095,1095,,,,,0,,,0
315,North County Branch,North County,"VC23153(a), alcohol",Sentencing after Revocation - Other (see note),CN258355,VC23153(a),alcohol,2009,,00:00.0,Local Custody: 120 Days - Probation Formal: 5 Years,Pled Guilty Felony,North County Branch,Felony Readiness Conference,,,,,120,,,,,1825,1825,,,,,,,,
325,North County Branch,North County,VC23153(b),Sentencing Hearing  - Probation Granted Formal,CN260066,VC23153(a),alcohol,2009,,00:00.0,Local Custody: 120 Days - Probation Formal: 5 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,120,,,,,1825,1825,,,,,,,,
333,North County Branch,North County,"VC23153(a), alcohol",Order to Show Cause - Admits - Revoked- Reinstated,CN262280,VC23153(a),alcohol,2009,,00:00.0,Local Custody: 120 Days - Probation Formal: 5 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,120,,,,,1825,1825,,,,,,,,
701,South Bay Branch,South County,"VC23153(a), alcohol",Felony Other Motion Hearing - Denied,CS231469,VC23153(a),alcohol,2009,,00:00.0,Local Custody: 120 Days - Probation Formal: 5 Years,Pled Guilty Felony,South Bay Branch - OTS Grant,Preliminary Exam Readiness,,,,,120,,,,,1825,1825,,,,,,,,
428,North County Branch,North County,"VC23153(a), alcohol",Out-Of-County Transfer - Granted,CN279443,VC23153(a),alcohol,2010,,00:00.0,Local Custody: 120 Days - Probation Formal: 5 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,120,,,,,1825,1825,,,,,,,,
733,South Bay Branch,South County,"VC23153(a), alcohol",Further Proceedings - Action Taken,CS240602,VC23153(a),alcohol,2010,,00:00.0,Local Custody: 120 Days - Probation Formal: 5 Years,Pled Guilty Felony,South Bay Branch - OTS Grant,Preliminary Exam,,,,,120,,,,,1825,1825,,,,,,,,
249,East County Branch,East County,VC20001(b)(2),Probation Modification Hearing - Granted,CE312186,VC20001(b)(2),,2011,,00:00.0,Local Custody: 120 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,120,,,,,1825,1825,,,,,,,,
541,North County Branch,North County,VC23153(b),Restitution Status Review Hearing - Restitution Set,CN305108,VC23153(a),alcohol,2012,,00:00.0,Local Custody: 120 Days - Probation Formal: 5 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,120,,,,,1825,1825,,,,,,,,
655,North County Branch,North County,"VC23153(a), alcohol",Probation Modification Hearing - Granted,CN326563,VC23153(a),alcohol,2013,,00:00.0,Local Custody: 120 Days - Probation Formal: 5 Years - Public Work Service: 15 Days,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,120,,,,,1825,1825,,,,,15,,15,
421,North County Branch,North County,VC20001(a),Evidentiary Hearing (Probation) - Admits - Revoked- Reinstated,CN277765,VC20001(a),,2010,,00:00.0,Local Custody: 120 Days - Probation Summary: 18 Months,Pled Guilty Felony,North County Branch,Felony Readiness Conference,,,,,120,,,,,547,,547,,,,,,,
658,North County Branch,North County,VC20001(a),Restitution Status Review Hearing - Continued,CN327085,VC20001(a),,2013,,00:00.0,Local Custody: 120 Days - Probation Summary: 3 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,120,,,,,1095,,1095,,,,,,,
159,Insurance Fraud,Central,"PC245(a)(1), deadly w",Probation Modification Hearing - Granted,CD248782,PC245(a)(1),deadly w,2013,Further Proceedings,00:00.0,Local Custody: 120 Days - Probation Summary: 5 Years - Public Work Service: 20 Days,Pled Guilty Felony,Auto Insurance Fraud,Preliminary Exam Readiness,,,,,120,,,,,1825,,1825,,,,20,,20,
449,North County Branch,North County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CN284230,VC20001(a),,2010,,00:00.0,Local Custody: 145 Days - Probation Formal: 3 Years,Pled Guilty Felony,North County Branch,Felony Readiness Conference,,,,,145,,,,,1095,1095,,,,,,,,
326,North County Branch,North County,"VC23153(a), alcohol",Sentencing Hearing  - Probation Granted Formal,CN260526,VC23153(a),alcohol,2009,,00:00.0,Local Custody: 150 Days - Probation Formal: 5 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,150,,,,,1825,1825,,,,,,,,
429,North County Branch,North County,"VC23153(a), alcohol",Sentencing Hearing  - Probation Granted Formal,CN279632,VC23153(a),alcohol,2010,,00:00.0,Local Custody: 150 Days - Probation Formal: 5 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,150,,,,,1825,1825,,,,,,,,
462,North County Branch,North County,"VC23153(a), combine",Out-Of-County Transfer - Granted,CN287001,VC23153(a),combine,2011,,00:00.0,Local Custody: 150 Days - Probation Formal: 5 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,150,,,,,1825,1825,,,,,,,,
489,North County Branch,North County,"VC23153(a), alcohol",Execution of Custody - Remand to Custody,CN291827,VC23153(a),alcohol,2011,,00:00.0,Local Custody: 150 Days - Probation Formal: 5 Years,Pled Guilty Felony,North County Branch,Preliminary Exam,,,,,150,,,,,1825,1825,,,,,,,,
396,North County Branch,North County,VC20001(a),Probation Modification Hearing - Granted,CN273361,VC20001(a),,2010,,00:00.0,Local Custody: 152 Days - Probation Formal: 3 Years,Pled Guilty Felony,North County Branch,Felony Readiness Conference,,,,,152,,,,,1095,1095,,,,,,,,
706,South Bay Branch,South County,VC23153(b),PC 1203.4 Motion Hearing - Denied,CS232771,VC23153(a),alcohol,2009,,00:00.0,Local Custody: 16 Days - Probation Formal: 5 Years,Pled Guilty Felony,South Bay Branch - OTS Grant,Felony Readiness Conference,,,,,16,,,,,1825,1825,,,,,,,,
243,East County Branch,East County,"VC23153(a), drugs",Order to Show Cause - Admits - Revoked- Immediate Sentencing,CE308000,VC23153(a),alcohol,2011,,00:00.0,Local Custody: 169 Days - Probation Formal: 5 Years,Pled Guilty Felony,East County Branch,Felony Jury Trial,,,,,169,,,,,1825,1825,,,,,,,,
512,North County Branch,North County,VC20001(a),Order to Show Cause - Admits - Revoked- Reinstated,CN296279,VC20001(a),,2011,,00:00.0,Local Custody: 170 Days - Probation Formal: 5 Years - Probation Formal: 5 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,170,,,,,3650,3650,,,,,,,,
225,East County Branch,East County,VC23152(a),Sentencing Hearing  - Probation Denied,CE297074,VC23153(a),alcohol,2009,,00:00.0,Local Custody: 180 Days,Pled Guilty Felony,East County Branch,Preliminary Exam,,,,,180,,,,,,,,,,,,,,
403,North County Branch,North County,"VC23153(a), alcohol",Probation Modification Hearing - Denied,CN274667,VC23153(a),alcohol,2010,,00:00.0,Local Custody: 180 Days,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,180,,,,,,,,,,,,,,
496,North County Branch,North County,"PC245(a)(1), deadly w",Probation Modification Hearing - Granted,CN292736,PC245(a)(1),deadly w,2011,,00:00.0,Local Custody: 180 Days,Pled Guilty Felony,North County Branch,Felony Readiness Conference,,,,,180,,,,,,,,,,,,,,
10,Superior Court,Central,"PC245(a)(1), deadly w",Probation Modification Hearing - Granted,CD220921,PC245(a)(1),deadly w,2009,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,180,,,,,1095,1095,,,,,,,,
25,Superior Court,Central,VC20001(a),PC 1203.4 Motion Hearing - Granted,CD222901,VC20001(a),,2009,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,180,,,,,1095,1095,,,,,,,,
26,Superior Court,Central,"VC23153(a), alcohol",Evidentiary Hearing (Probation) - Admits - Revoked- Reinstated,CD223074,VC23153(a),alcohol,2009,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,180,,,,,1095,1095,,,,,,,,
216,East County Branch,East County,"VC23153(a), alcohol",Order to Show Cause - Admits - Revoked- Reinstated,CE291715,VC23153(a),alcohol,2009,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Felony Readiness Conference,,,,,180,,,,,1095,1095,,,,,,,,
219,East County Branch,East County,"VC23153(a), alcohol",Restitution Status Review Hearing - Restitution Set,CE293499,VC23153(a),alcohol,2009,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,180,,,,,1095,1095,,,,,,,,
317,North County Branch,North County,"HS11379(a), transport",Evidentiary Hearing (Probation) - Admits - Revoked- Reinstated,CN258467,HS11379(a),transport,2009,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,180,,,,,1095,1095,,,,,,,,
318,North County Branch,North County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CN258562,VC20001(a),,2009,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,North County Branch,Preliminary Exam,,,,,180,,,,,1095,1095,,,,,,,,
694,South Bay Branch,South County,VC20001(a),Restitution Hearing  - Restitution Set,CS230332,VC20001(a),,2009,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,South Bay Branch,Preliminary Exam,,,,,180,,,,,1095,1095,,,,,,,,
49,Superior Court,Central,VC2800.3(a),Sentencing Hearing  - Probation Granted Formal,CD227559,VC2800.3(a),,2010,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,180,,,,,1095,1095,,,,,,,,
231,East County Branch,East County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CE301286,VC23153(a),combine,2010,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,180,,,,,1095,1095,,,,,,,,
397,North County Branch,North County,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CN273432,VC20001(a),,2010,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,North County Branch,Preliminary Exam,,,,,180,,,,,1095,1095,,,,,,,,
247,East County Branch,East County,VC20001(a),Sentencing after Revocation - Probation Reinstated,CE310281,VC20001(a),,2011,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,180,,,,,1095,1095,,,,,,,,
248,East County Branch,East County,VC20001(a),Probation Modification Hearing - Denied,CE311542,VC20001(a),,2011,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,East County Branch,Preliminary Exam Readiness,,,,,180,,,,,1095,1095,,,,,,,,
509,Narcotics,North County,HS11358,Further Proceedings - Action Taken,CN295561,HS11359,,2011,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,JUDGE,Preliminary Exam Readiness,,,,,180,,,,,1095,1095,,,,,,,,
581,North County Branch,North County,VC20001(a),Sentencing after Revocation - State Prison,CN313518,VC20001(a),,2012,,00:00.0,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,North County Branch,Preliminary Exam Readiness,,,,,180,,,,,1095,1095,,,,,,,,
